1 	logo RedTube Zone 	Win 	104.40 - 102.22 	Recap
2 	logo Spruce Moose 	Win 	105.90 - 68.82 	Recap
3 	logo Super Mariota Bros. 	Loss 	99.60 - 111.86 	Recap
4 	logo The Jackson 4 	Loss 	86.48 - 123.20 	Recap
5 	logo Meowseph Stalin 	Loss 	85.50 - 137.24 	Recap
6 	logo Analrapists 	Loss 	46.06 - 85.42 	Recap
7 	logo andrew's Team 	Win 	131.16 - 65.20 	Recap
8 	logo Ballstothewall 	Win 	148.08 - 108.70 	Recap
9 	logo Bone G 	Win 	95.84 - 73.90 	Recap
10 	logo All I do is Winston 	Loss 	85.86 - 112.12 	Recap
11 	logo Okayest FC 	Loss 	42.50 - 97.16 	Recap
12 	logo RedTube Zone 	Loss 	64.92 - 99.62 	Recap
13 	logo Spruce Moose 	Loss 	78.00 - 95.90 	Recap
14 	logo Super Mariota Bros. 	Win 	123.46 - 107.44 	Recap
