1 	logo Ballstothewall 	Win 	100.56 - 90.82 	Recap
2 	logo Bone G 	Win 	108.20 - 90.66 	Recap
3 	logo Valdes-Scantling LLP 	Win 	111.86 - 99.60 	Recap
4 	logo Okayest FC 	Win 	110.60 - 84.32 	Recap
5 	logo RedTube Zone 	Loss 	139.70 - 167.74 	Recap
6 	logo Spruce Moose 	Win 	120.24 - 80.50 	Recap
7 	logo All I do is Winston 	Loss 	59.86 - 94.12 	Recap
8 	logo The Jackson 4 	Win 	119.22 - 93.88 	Recap
9 	logo Meowseph Stalin 	Loss 	117.76 - 119.80 	Recap
10 	logo Analrapists 	Loss 	108.08 - 132.94 	Recap
11 	logo andrew's Team 	Win 	106.46 - 81.12 	Recap
12 	logo Ballstothewall 	Win 	85.74 - 79.46 	Recap
13 	logo Bone G 	Loss 	76.76 - 88.04 	Recap
14 	logo Valdes-Scantling LLP 	Loss 	107.44 - 123.46 	Recap
