1 	logo Valdes-Scantling LLP 	Loss 	102.22 - 104.40 	Recap
2 	logo Okayest FC 	Loss 	86.26 - 103.86 	Recap
3 	logo All I do is Winston 	Win 	107.04 - 93.48 	Recap
4 	logo Spruce Moose 	Win 	114.40 - 62.20 	Recap
5 	logo Super Mariota Bros. 	Win 	167.74 - 139.70 	Recap
6 	logo The Jackson 4 	Loss 	117.80 - 121.30 	Recap
7 	logo Meowseph Stalin 	Loss 	78.02 - 87.42 	Recap
8 	logo Analrapists 	Win 	105.56 - 86.04 	Recap
9 	logo andrew's Team 	Win 	132.34 - 115.66 	Recap
10 	logo Ballstothewall 	Win 	117.28 - 106.42 	Recap
11 	logo Bone G 	Loss 	63.56 - 83.14 	Recap
12 	logo Valdes-Scantling LLP 	Win 	99.62 - 64.92 	Recap
13 	logo Okayest FC 	Win 	98.30 - 81.40 	Recap
14 	logo All I do is Winston 	Win 	110.48 - 72.20 	Recap
