1 	logo Analrapists 	Loss 	93.86 - 137.72 	Recap
2 	logo andrew's Team 	Win 	92.72 - 88.10 	Recap
3 	logo Ballstothewall 	Loss 	109.68 - 126.62 	Recap
4 	logo Bone G 	Loss 	47.04 - 82.50 	Recap
5 	logo Valdes-Scantling LLP 	Win 	137.24 - 85.50 	Recap
6 	logo Okayest FC 	Win 	101.42 - 97.42 	Recap
7 	logo RedTube Zone 	Win 	87.42 - 78.02 	Recap
8 	logo Spruce Moose 	Loss 	73.20 - 110.38 	Recap
9 	logo Super Mariota Bros. 	Win 	119.80 - 117.76 	Recap
10 	logo The Jackson 4 	Loss 	84.60 - 85.96 	Recap
11 	logo All I do is Winston 	Loss 	69.66 - 90.08 	Recap
12 	logo Analrapists 	Loss 	97.18 - 102.42 	Recap
13 	logo andrew's Team 	Loss 	89.04 - 111.76 	Recap
14 	logo Ballstothewall 	Loss 	70.78 - 97.70 	Recap
