1 	logo andrew's Team 	Win 	74.32 - 60.82 	Recap
2 	logo Ballstothewall 	Loss 	66.14 - 102.76 	Recap
3 	logo Bone G 	Win 	106.86 - 80.74 	Recap
4 	logo Valdes-Scantling LLP 	Win 	123.20 - 86.48 	Recap
5 	logo Okayest FC 	Loss 	79.06 - 90.02 	Recap
6 	logo RedTube Zone 	Win 	121.30 - 117.80 	Recap
7 	logo Spruce Moose 	Loss 	71.86 - 129.04 	Recap
8 	logo Super Mariota Bros. 	Loss 	93.88 - 119.22 	Recap
9 	logo All I do is Winston 	Win 	91.56 - 89.32 	Recap
10 	logo Meowseph Stalin 	Win 	85.96 - 84.60 	Recap
11 	logo Analrapists 	Win 	80.06 - 79.28 	Recap
12 	logo andrew's Team 	Loss 	72.84 - 106.24 	Recap
13 	logo Ballstothewall 	Loss 	67.72 - 113.54 	Recap
14 	logo Bone G 	Win 	96.60 - 86.36 	Recap
