1 	logo Spruce Moose 	Loss 	75.86 - 132.90 	Recap
2 	logo Super Mariota Bros. 	Loss 	90.66 - 108.20 	Recap
3 	logo The Jackson 4 	Loss 	80.74 - 106.86 	Recap
4 	logo Meowseph Stalin 	Win 	82.50 - 47.04 	Recap
5 	logo Analrapists 	Win 	137.62 - 105.14 	Recap
6 	logo andrew's Team 	Win 	99.16 - 79.22 	Recap
7 	logo Ballstothewall 	Loss 	104.66 - 115.18 	Recap
8 	logo All I do is Winston 	Win 	62.06 - 44.80 	Recap
9 	logo Valdes-Scantling LLP 	Loss 	73.90 - 95.84 	Recap
10 	logo Okayest FC 	Loss 	59.78 - 85.28 	Recap
11 	logo RedTube Zone 	Win 	83.14 - 63.56 	Recap
12 	logo Spruce Moose 	Win 	88.80 - 59.30 	Recap
13 	logo Super Mariota Bros. 	Win 	88.04 - 76.76 	Recap
14 	logo The Jackson 4 	Loss 	86.36 - 96.60 	Recap
